accyracy,bamboo_pole,iron_pole,wood,lotus,hishi,sky,person,boat,water_sur
0,17465,0,10295,279100,0,159228,0,0,46786
0,0,9034,0,7729,0,580,0,0,122
0,0,0,0,0,0,0,0,0,0
0,0,1040,0,425,0,8074,0,0,756
255280,0,575,0,255280,0,4,0,0,23241
0,0,0,0,0,0,0,0,0,0
159165,0,63,0,0,0,159165,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
36680,0,0,0,10106,0,0,0,0,36680
0,2261,3121,51574,275381,0,125741,0,0,54945
0,0,2077,0,73,0,90,0,0,21
3108,0,3108,0,13,0,0,0,0,0
0,0,1044,0,6,0,50254,0,0,270
242823,0,5209,0,242823,0,1011,0,0,26338
0,0,0,0,0,0,0,0,0,0
124851,0,890,0,0,0,124851,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
42103,0,1085,0,9872,0,1885,0,0,42103
0,1057,1503,52074,297133,0,125562,0,0,36124
0,0,1057,0,0,0,0,0,0,0
1480,0,1480,0,12,0,11,0,0,0
0,0,1314,0,0,0,50561,0,0,199
242397,0,6332,0,242397,0,910,0,0,47494
0,0,0,0,0,0,0,0,0,0
124170,0,1392,0,0,0,124170,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
20351,0,484,0,11900,0,3389,0,0,20351
0,4991,2388,9985,316809,0,161474,0,0,16830
0,0,4268,0,37,0,190,0,0,496
2286,0,2286,0,97,0,5,0,0,0
0,0,743,0,76,0,8889,0,0,277
263857,0,3908,0,263857,0,369,0,0,48675
0,0,0,0,0,0,0,0,0,0
160020,0,370,0,0,0,160020,0,0,1084
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
15828,0,169,0,833,0,0,0,0,15828
0,1836,2637,52135,282408,0,125860,0,0,48368
0,0,1827,0,9,0,0,0,0,0
2381,0,2381,0,60,0,140,0,0,56
0,0,1232,0,27,0,50557,0,0,319
234545,0,6581,0,234545,0,1140,0,0,40142
0,0,0,0,0,0,0,0,0,0
124804,0,1056,0,0,0,124804,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
29212,0,627,0,16561,0,1968,0,0,29212
0,2681,1799,10602,302569,0,160958,0,0,34893
0,0,2462,0,28,0,190,0,0,1
1765,0,1765,0,22,0,7,0,0,5
0,0,1087,0,91,0,7972,0,0,1452
266660,0,2638,0,266660,0,72,0,0,33199
0,0,0,0,0,0,0,0,0,0
160127,0,831,0,0,0,160127,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
27468,0,61,0,7364,0,0,0,0,27468
0,10075,4437,10363,302451,0,159377,0,0,26951
0,0,8213,0,1016,0,478,0,0,368
4200,0,4200,0,20,0,211,0,0,6
0,0,493,0,55,0,7735,0,0,2080
269418,0,2499,0,269418,0,2,0,0,30532
0,0,0,0,0,0,0,0,0,0
159271,0,106,0,0,0,159271,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
23131,0,34,0,3786,0,0,0,0,23131
0,12043,19383,0,218947,2608,118144,0,0,137967
0,0,8968,0,2163,0,883,0,0,29
4959,0,4959,0,1375,0,11398,0,0,1651
0,0,0,0,0,0,0,0,0,0
205757,0,1005,0,205757,0,17,0,0,12168
0,0,0,0,1128,0,0,0,0,1480
118134,0,10,0,0,0,118134,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
110144,0,451,0,27366,0,6,0,0,110144
0,859,700,52208,288105,0,132878,0,0,40324
0,0,827,0,30,0,2,0,0,0
683,0,683,0,13,0,0,0,0,4
0,0,3002,0,12,0,47525,0,0,1669
262243,0,4401,0,262243,0,157,0,0,21304
0,0,0,0,0,0,0,0,0,0
132300,0,578,0,0,0,132300,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
35375,0,368,0,4483,0,98,0,0,35375
0,453,447,50479,256675,0,130136,0,0,75284
0,0,453,0,0,0,0,0,0,0
445,0,445,0,2,0,0,0,0,0
0,0,2843,0,0,0,46883,0,0,753
234484,0,3292,0,234484,0,251,0,0,18648
0,0,0,0,0,0,0,0,0,0
129875,0,261,0,0,0,129875,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
55946,0,617,0,18056,0,665,0,0,55946
0,9042,14571,0,246859,925,112772,0,0,122884
0,0,8422,0,316,0,302,0,0,2
2864,0,2864,0,72,0,11588,0,0,47
0,0,0,0,0,0,0,0,0,0
218596,0,1925,0,218596,0,1626,0,0,24712
0,0,0,0,415,0,0,0,0,510
112723,0,49,0,0,0,112723,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
99436,0,509,0,22737,0,202,0,0,99436
0,7277,3132,8182,275014,0,111947,0,0,103456
0,0,6282,0,308,0,621,0,0,66
1740,0,1740,0,496,0,861,0,0,35
0,0,19,0,0,0,8150,0,0,13
240290,0,2901,0,240290,0,2598,0,0,29225
0,0,0,0,0,0,0,0,0,0
111928,0,19,0,0,0,111928,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
90112,0,749,0,11832,0,763,0,0,90112
0,12385,6392,10168,230858,0,118098,0,0,132046
0,0,8996,0,2614,0,635,0,0,140
4336,0,4336,0,705,0,1206,0,0,145
0,0,156,0,0,0,9894,0,0,118
209450,0,1355,0,209450,0,655,0,0,19398
0,0,0,0,0,0,0,0,0,0
118092,0,6,0,0,0,118092,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
106727,0,421,0,24874,0,24,0,0,106727
0,1839,1824,51807,296224,0,129090,0,0,33632
0,0,1831,0,0,0,7,0,0,1
1823,0,1823,0,1,0,0,0,0,0
0,0,2240,0,2,0,49340,0,0,225
248310,0,7741,0,248310,0,274,0,0,39899
0,0,0,0,0,0,0,0,0,0
128069,0,1021,0,0,0,128069,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
18362,0,650,0,12679,0,1941,0,0,18362
0,3161,2207,10081,232410,0,117946,0,0,143575
0,0,1951,0,439,0,771,0,0,0
814,0,814,0,548,0,834,0,0,11
0,0,287,0,0,0,9793,0,0,1
208053,0,2561,0,208053,0,1133,0,0,20663
0,0,0,0,0,0,0,0,0,0
117892,0,54,0,0,0,117892,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
115500,0,54,0,27942,0,79,0,0,115500
0,11617,12948,10275,280456,0,157210,0,0,40452
0,0,8275,0,1497,0,1371,0,0,474
12075,0,12075,0,590,0,103,0,0,180
0,0,368,0,354,0,7943,0,0,1610
254325,0,1481,0,254325,0,36,0,0,24614
0,0,0,0,0,0,0,0,0,0
156901,0,309,0,0,0,156901,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
29729,0,238,0,10485,0,0,0,0,29729
0,1105,1486,52070,287600,0,128174,0,0,42132
0,0,1100,0,0,0,5,0,0,0
1471,0,1471,0,0,0,15,0,0,0
0,0,1294,0,0,0,50275,0,0,501
222391,0,9594,0,222391,0,6468,0,0,49147
0,0,0,0,0,0,0,0,0,0
126980,0,1194,0,0,0,126980,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
21322,0,1932,0,15714,0,3164,0,0,21322
0,585,874,49705,256933,0,83229,0,0,117811
0,0,405,0,64,0,116,0,0,0
779,0,779,0,36,0,59,0,0,0
0,0,713,0,14,0,48978,0,0,0
218790,0,1973,0,218790,0,2000,0,0,34170
0,0,0,0,0,0,0,0,0,0
82708,0,521,0,0,0,82708,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
94012,0,696,0,19401,0,3702,0,0,94012
0,1219,756,10848,227256,0,116502,0,0,151940
0,0,434,0,140,0,645,0,0,0
495,0,495,0,31,0,222,0,0,8
0,0,660,0,23,0,10124,0,0,41
208416,0,3725,0,208416,0,220,0,0,14895
0,0,0,0,0,0,0,0,0,0
116463,0,39,0,0,0,116463,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
116155,0,565,0,35191,0,29,0,0,116155
0,2042,1399,10372,240568,0,158999,0,0,100206
0,0,1900,0,0,0,142,0,0,0
1386,0,1386,0,11,0,2,0,0,0
0,0,1535,0,328,0,7977,0,0,532
228430,0,2160,0,228430,0,183,0,0,9795
0,0,0,0,0,0,0,0,0,0
158334,0,665,0,0,0,158334,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
66301,0,170,0,33735,0,0,0,0,66301
0,4223,7219,0,313129,0,160363,0,0,28822
0,0,3406,0,133,0,518,0,0,166
6818,0,6818,0,315,0,48,0,0,38
0,0,0,0,0,0,0,0,0,0
268995,0,3198,0,268995,0,8601,0,0,32335
0,0,0,0,0,0,0,0,0,0
160048,0,306,0,0,0,160048,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
23332,0,161,0,5329,0,0,0,0,23332
0,2825,2793,52152,295525,0,126399,0,0,34378
0,0,2761,0,31,0,33,0,0,0
2787,0,2787,0,6,0,0,0,0,0
0,0,2203,0,0,0,49886,0,0,63
239056,0,7510,0,239056,0,4015,0,0,44944
0,0,0,0,0,0,0,0,0,0
125795,0,604,0,0,0,125795,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
21925,0,1403,0,8403,0,2647,0,0,21925
0,3055,6892,49334,268204,0,123537,0,0,61555
0,0,2528,0,11,0,488,0,0,28
6857,0,6857,0,16,0,14,0,0,5
0,0,391,0,0,0,48771,0,0,172
226605,0,7005,0,226605,0,2811,0,0,31783
0,0,0,0,0,0,0,0,0,0
123047,0,490,0,0,0,123047,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
38786,0,1269,0,17695,0,3805,0,0,38786
0,2995,1042,9811,285120,0,161916,0,0,53011
0,0,2726,0,33,0,84,0,0,152
767,0,767,0,179,0,5,0,0,91
0,0,1017,0,146,0,7936,0,0,712
261033,0,1957,0,261033,0,434,0,0,21696
0,0,0,0,0,0,0,0,0,0
161153,0,754,0,0,0,161153,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
44428,0,142,0,8441,0,0,0,0,44428
0,1297,935,10256,234342,0,118648,0,0,143580
0,0,832,0,136,0,329,0,0,0
601,0,601,0,100,0,234,0,0,0
0,0,518,0,23,0,9669,0,0,46
213947,0,2620,0,213947,0,813,0,0,16962
0,0,0,0,0,0,0,0,0,0
118479,0,169,0,0,0,118479,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
112255,0,874,0,30434,0,17,0,0,112255
0,2838,2187,11303,240281,0,117598,0,0,135290
0,0,1828,0,390,0,620,0,0,0
1889,0,1889,0,3,0,295,0,0,0
0,0,309,0,99,0,10733,0,0,162
217780,0,2663,0,217780,0,826,0,0,19012
0,0,0,0,0,0,0,0,0,0
117412,0,186,0,0,0,117412,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
104197,0,1066,0,30026,0,1,0,0,104197
